check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:07:48.675488+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:07:48.675508+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:07:48.822542+05:30
http,pass,Probe 1: HTTP 200 at https://www.hrcsl.lk/,https://www.hrcsl.lk/,2026-09-09T00:08:09.046184+05:30
http,pass,Probe 2: HTTP 200 at https://www.hrcsl.lk/,http://www.hrcsl.lk/,2026-09-09T00:08:09.046209+05:30
http,pass,Probe 3: HTTP 200 at https://www.hrcsl.lk/,https://www.hrcsl.lk/,2026-09-09T00:08:09.046213+05:30
http,pass,Probe 4: HTTP 200 at https://www.hrcsl.lk/,http://www.hrcsl.lk/,2026-09-09T00:08:09.046216+05:30
http,pass,Probe 5: HTTP 200 at https://www.hrcsl.lk/home/?lang=si,https://www.hrcsl.lk/?page_id=2&lang=si,2026-09-09T00:08:09.046219+05:30
http,pass,Probe 6: HTTP 200 at https://www.hrcsl.lk/home/,https://www.hrcsl.lk/?page_id=2&lang=en,2026-09-09T00:08:09.046221+05:30
http,pass,Probe 7: HTTP 200 at https://www.hrcsl.lk/home/?lang=ta,https://www.hrcsl.lk/?page_id=2&lang=ta,2026-09-09T00:08:09.046224+05:30
http,pass,Probe 8: HTTP 200 at https://www.hrcsl.lk/divisions/research-and-monitoring/?lang=si,https://www.hrcsl.lk/divisions/research-and-monitoring/?lang=si,2026-09-09T00:08:09.046227+05:30
http,pass,Probe 9: HTTP 200 at https://www.hrcsl.lk/contact/head-office/?lang=si,https://www.hrcsl.lk/contact/head-office/?lang=si,2026-09-09T00:08:09.046229+05:30
http,pass,Probe 10: HTTP 200 at https://www.hrcsl.lk/contact/regional-offices/?lang=si,https://www.hrcsl.lk/contact/regional-offices/?lang=si,2026-09-09T00:08:09.046232+05:30
http,pass,Probe 11: HTTP 200 at https://www.hrcsl.lk/contact/sub-offices/?lang=si,https://www.hrcsl.lk/contact/sub-offices/?lang=si,2026-09-09T00:08:09.046235+05:30
http,pass,Probe 12: HTTP 200 at https://www.hrcsl.lk/right-to-information/information-officers/?lang=si,https://www.hrcsl.lk/right-to-information/information-officers/?lang=si,2026-09-09T00:08:09.046237+05:30
http,pass,Probe 13: HTTP 200 at https://www.hrcsl.lk/hrcsl-kalmunai-regional-office-commemorates-the-international-day-in-support-of-victims-of-torture-2026/?lang=si,https://www.hrcsl.lk/hrcsl-kalmunai-regional-office-commemorates-the-international-day-in-support-of-victims-of-torture-2026/?lang=si,2026-09-09T00:08:09.046240+05:30
http,pass,Probe 14: HTTP 200 at https://www.hrcsl.lk/home/,https://www.hrcsl.lk/?page_id=2,2026-09-09T00:08:09.046242+05:30
generic_hosting,fail,Detected generic hosting marker: under construction,https://www.hrcsl.lk/,
postal_address,pass,"Published postal address: already exists!"",""es_unexpected_error_notice"":""Oops.. Unexpected error occurred."",""es_invalid_email_notice"":""Invalid ema",https://www.hrcsl.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,https://www.hrcsl.lk/,
postal_address,pass,"Published postal address: already exists!"",""es_unexpected_error_notice"":""Oops.. Unexpected error occurred."",""es_invalid_email_notice"":""Invalid ema",https://www.hrcsl.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,https://www.hrcsl.lk/,
postal_address,pass,"Published postal address: already exists!"",""es_unexpected_error_notice"":""Oops.. Unexpected error occurred."",""es_invalid_email_notice"":""Invalid ema",https://www.hrcsl.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,https://www.hrcsl.lk/,
