check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:39:51.186148+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:39:51.186168+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:39:51.209110+05:30
http,pass,Probe 1: HTTP 200 at https://www.hoteldevelopers.lk/,https://www.hoteldevelopers.lk/,2026-09-08T23:40:09.475127+05:30
http,pass,Probe 2: HTTP 200 at http://www.hoteldevelopers.lk/,http://www.hoteldevelopers.lk/,2026-09-08T23:40:09.475152+05:30
http,pass,Probe 3: HTTP 200 at https://www.hoteldevelopers.lk/,https://www.hoteldevelopers.lk/,2026-09-08T23:40:09.475155+05:30
http,pass,Probe 4: HTTP 200 at http://www.hoteldevelopers.lk/,http://www.hoteldevelopers.lk/,2026-09-08T23:40:09.475158+05:30
http,pass,Probe 5: HTTP 200 at https://www.hoteldevelopers.lk/index.html,https://www.hoteldevelopers.lk/index.html,2026-09-08T23:40:09.475161+05:30
http,pass,Probe 6: HTTP 200 at https://www.hoteldevelopers.lk/corporate-information.html,https://www.hoteldevelopers.lk/corporate-information.html,2026-09-08T23:40:09.475163+05:30
http,pass,Probe 7: HTTP 200 at http://www.hoteldevelopers.lk/index.html,http://www.hoteldevelopers.lk/index.html,2026-09-08T23:40:09.475166+05:30
http,pass,Probe 8: HTTP 200 at http://www.hoteldevelopers.lk/corporate-information.html,http://www.hoteldevelopers.lk/corporate-information.html,2026-09-08T23:40:09.475168+05:30
http,pass,Probe 9: HTTP 200 at http://www.hoteldevelopers.lk,http://www.hoteldevelopers.lk,2026-09-08T23:40:09.475171+05:30
http,pass,Probe 10: HTTP 200 at https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2025.pdf,https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2025.pdf,2026-09-08T23:40:09.475174+05:30
http,pass,Probe 11: HTTP 200 at https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2024.pdf,https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2024.pdf,2026-09-08T23:40:09.475176+05:30
http,pass,Probe 12: HTTP 200 at https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2023.pdf,https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2023.pdf,2026-09-08T23:40:09.475179+05:30
http,pass,Probe 13: HTTP 200 at https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2022.pdf,https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2022.pdf,2026-09-08T23:40:09.475181+05:30
http,pass,Probe 14: HTTP 200 at https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2021.pdf,https://www.hoteldevelopers.lk/pdf/hotel-developers-annual-report-2021.pdf,2026-09-08T23:40:09.475184+05:30
phone,pass,Published phone: +94112433435,https://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94 11 2433435 ,https://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94 11 2446545 ,https://www.hoteldevelopers.lk/,
email,pass,Published email: manels@hdl.lk,https://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94112433435,http://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94 11 2433435 ,http://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94 11 2446545 ,http://www.hoteldevelopers.lk/,
email,pass,Published email: manels@hdl.lk,http://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94112433435,https://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94 11 2433435 ,https://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94 11 2446545 ,https://www.hoteldevelopers.lk/,
email,pass,Published email: manels@hdl.lk,https://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94112433435,http://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94 11 2433435 ,http://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94 11 2446545 ,http://www.hoteldevelopers.lk/,
email,pass,Published email: manels@hdl.lk,http://www.hoteldevelopers.lk/,
phone,pass,Published phone: +94112433435,https://www.hoteldevelopers.lk/index.html,
phone,pass,Published phone: +94 11 2433435 ,https://www.hoteldevelopers.lk/index.html,
phone,pass,Published phone: +94 11 2446545 ,https://www.hoteldevelopers.lk/index.html,
email,pass,Published email: manels@hdl.lk,https://www.hoteldevelopers.lk/index.html,
phone,pass,Published phone: +94112433435,https://www.hoteldevelopers.lk/corporate-information.html,
