check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:41:52.064161+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:41:52.064181+05:30
tls,error,[Errno 111] Connection refused,,2026-09-08T23:41:52.290138+05:30
http,error,Probe 1: [Errno 111] Connection refused,https://www.nara.ac.lk/,2026-09-08T23:42:09.080629+05:30
http,pass,Probe 2: HTTP 200 at http://www.nara.ac.lk/,http://www.nara.ac.lk/,2026-09-08T23:42:09.080651+05:30
http,error,Probe 3: [Errno 111] Connection refused,https://www.nara.ac.lk/,2026-09-08T23:42:09.080654+05:30
http,pass,Probe 4: HTTP 200 at http://www.nara.ac.lk/,http://www.nara.ac.lk/,2026-09-08T23:42:09.080657+05:30
http,pass,Probe 5: HTTP 200 at http://www.nara.ac.lk,http://www.nara.ac.lk,2026-09-08T23:42:09.080660+05:30
http,pass,Probe 6: HTTP 200 at http://www.nara.ac.lk/?page_id=33,http://www.nara.ac.lk/?page_id=33,2026-09-08T23:42:09.080663+05:30
http,pass,Probe 7: HTTP 200 at http://www.nara.ac.lk/?page_id=20424,http://www.nara.ac.lk/?page_id=20424,2026-09-08T23:42:09.080665+05:30
http,pass,Probe 8: HTTP 200 at http://www.nara.ac.lk/?page_id=20597,http://www.nara.ac.lk/?page_id=20597,2026-09-08T23:42:09.080668+05:30
http,pass,Probe 9: HTTP 200 at http://www.nara.ac.lk/?page_id=20604,http://www.nara.ac.lk/?page_id=20604,2026-09-08T23:42:09.080670+05:30
http,pass,Probe 10: HTTP 200 at http://www.nara.ac.lk/?page_id=20611,http://www.nara.ac.lk/?page_id=20611,2026-09-08T23:42:09.080673+05:30
http,pass,Probe 11: HTTP 200 at http://www.nara.ac.lk/?page_id=285,http://www.nara.ac.lk/?page_id=285,2026-09-08T23:42:09.080675+05:30
http,pass,Probe 12: HTTP 200 at http://www.nara.ac.lk/?page_id=20299,http://www.nara.ac.lk/?page_id=20299,2026-09-08T23:42:09.080678+05:30
http,pass,Probe 13: HTTP 200 at http://www.nara.ac.lk/?page_id=20368,http://www.nara.ac.lk/?page_id=20368,2026-09-08T23:42:09.080681+05:30
http,pass,Probe 14: HTTP 200 at http://www.nara.ac.lk/?page_id=20374,http://www.nara.ac.lk/?page_id=20374,2026-09-08T23:42:09.080683+05:30
phone,pass,Published phone: 0.689006113,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.711363530,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.352888624,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.647111375,http://www.nara.ac.lk/,
phone,pass,Published phone: +94 11- 2521006 ,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.576666666,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.637596668,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.699463966,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.833333333,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.857333333,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.920781280,http://www.nara.ac.lk/,
phone,pass,Published phone: +94 11- 2521000 ,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.844041245,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.962403331,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.970156652,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.900166389,http://www.nara.ac.lk/,
phone,pass,Published phone: 0.805968669,http://www.nara.ac.lk/,
