check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:05:07.175657+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:05:07.175678+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:05:07.698164+05:30
http,pass,Probe 1: HTTP 200 at https://www.mfa.gov.lk/,https://www.mfa.gov.lk/,2026-09-09T00:05:24.285722+05:30
http,pass,Probe 2: HTTP 200 at https://www.mfa.gov.lk/,http://www.mfa.gov.lk/,2026-09-09T00:05:24.285747+05:30
http,pass,Probe 3: HTTP 200 at https://www.mfa.gov.lk/,https://www.mfa.gov.lk/,2026-09-09T00:05:24.285750+05:30
http,pass,Probe 4: HTTP 200 at https://www.mfa.gov.lk/,http://www.mfa.gov.lk/,2026-09-09T00:05:24.285753+05:30
http,pass,Probe 5: HTTP 200 at https://www.mfa.gov.lk/en/,https://www.mfa.gov.lk/en/,2026-09-09T00:05:24.285756+05:30
http,pass,Probe 6: HTTP 200 at https://www.mfa.gov.lk/en/internal-affairs-unit,https://www.mfa.gov.lk/en/internal-affairs-unit,2026-09-09T00:05:24.285759+05:30
http,pass,Probe 7: HTTP 200 at https://www.mfa.gov.lk/en/about-us/profiles/chief-financial-officer,https://www.mfa.gov.lk/en/about-us/profiles/chief-financial-officer,2026-09-09T00:05:24.285761+05:30
http,pass,Probe 8: HTTP 200 at https://www.mfa.gov.lk/en/bilateral-affairs/africa-affairs-division,https://www.mfa.gov.lk/en/bilateral-affairs/africa-affairs-division,2026-09-09T00:05:24.285764+05:30
http,pass,Probe 9: HTTP 200 at https://www.mfa.gov.lk/en/latin-america-the-caribbean-division,https://www.mfa.gov.lk/en/latin-america-the-caribbean-division,2026-09-09T00:05:24.285767+05:30
http,pass,Probe 10: HTTP 200 at https://www.mfa.gov.lk/en/bilateral-affairs/middle-east-division,https://www.mfa.gov.lk/en/bilateral-affairs/middle-east-division,2026-09-09T00:05:24.285770+05:30
http,pass,Probe 11: HTTP 200 at https://www.mfa.gov.lk/en/bilateral-affairs/south-asia-and-saarc-division,https://www.mfa.gov.lk/en/bilateral-affairs/south-asia-and-saarc-division,2026-09-09T00:05:24.285773+05:30
http,pass,Probe 12: HTTP 200 at https://www.mfa.gov.lk/en/united-nations-and-human-rights-division,https://www.mfa.gov.lk/en/united-nations-and-human-rights-division,2026-09-09T00:05:24.285775+05:30
http,pass,Probe 13: HTTP 200 at https://www.mfa.gov.lk/en/economic-affairs-division,https://www.mfa.gov.lk/en/economic-affairs-division,2026-09-09T00:05:24.285778+05:30
http,pass,Probe 14: HTTP 200 at https://www.mfa.gov.lk/en/divisions/protocol-division,https://www.mfa.gov.lk/en/divisions/protocol-division,2026-09-09T00:05:24.285780+05:30
phone,pass,Published phone: +94112381798,https://www.mfa.gov.lk/,
phone,pass,Published phone: +94 112 331 200 ,https://www.mfa.gov.lk/,
phone,pass,Published phone: +94 112 207 200 ,https://www.mfa.gov.lk/,
phone,pass,Published phone: +94112325375,https://www.mfa.gov.lk/,
