check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:58:34.274358+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:58:34.274382+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:58:35.323734+05:30
http,pass,Probe 1: HTTP 200 at https://www.slida.lk/,https://www.slida.lk/,2026-09-08T23:59:04.515673+05:30
http,pass,Probe 2: HTTP 200 at https://www.slida.lk/,http://www.slida.lk/,2026-09-08T23:59:04.515693+05:30
http,pass,Probe 3: HTTP 200 at https://www.slida.lk/,https://www.slida.lk/,2026-09-08T23:59:04.515697+05:30
http,pass,Probe 4: HTTP 200 at https://www.slida.lk/,http://www.slida.lk/,2026-09-08T23:59:04.515700+05:30
http,pass,Probe 5: HTTP 200 at https://www.slida.lk/contact,https://www.slida.lk/contact,2026-09-08T23:59:04.515703+05:30
http,pass,Probe 6: HTTP 200 at https://www.slida.lk/about,https://www.slida.lk/about,2026-09-08T23:59:04.515705+05:30
http,pass,Probe 7: HTTP 200 at https://www.slida.lk/mpm,https://www.slida.lk/mpm,2026-09-08T23:59:04.515708+05:30
http,pass,Probe 8: HTTP 200 at https://www.slida.lk/research,https://www.slida.lk/research,2026-09-08T23:59:04.515711+05:30
http,pass,Probe 9: HTTP 200 at https://www.slida.lk/examinations,https://www.slida.lk/examinations,2026-09-08T23:59:04.515714+05:30
http,pass,Probe 10: HTTP 200 at https://www.slida.lk/training-program/21,https://www.slida.lk/training-program/21,2026-09-08T23:59:04.515717+05:30
http,pass,Probe 11: HTTP 200 at https://www.slida.lk/training-program/22,https://www.slida.lk/training-program/22,2026-09-08T23:59:04.515720+05:30
http,pass,Probe 12: HTTP 200 at https://www.slida.lk/training-program/23,https://www.slida.lk/training-program/23,2026-09-08T23:59:04.515722+05:30
http,pass,Probe 13: HTTP 200 at https://www.slida.lk/training-program/24,https://www.slida.lk/training-program/24,2026-09-08T23:59:04.515725+05:30
http,pass,Probe 14: HTTP 200 at https://www.slida.lk/training-program/25,https://www.slida.lk/training-program/25,2026-09-08T23:59:04.515728+05:30
phone,pass,Published phone: 0115-980293,https://www.slida.lk/,
phone,pass,Published phone: 017 2.67 .358 3.,https://www.slida.lk/,
phone,pass,Published phone: 0115-980271 ,https://www.slida.lk/,
phone,pass,Published phone: +94-11-5980200,https://www.slida.lk/,
phone,pass,Published phone: 011-5980293 ,https://www.slida.lk/,
phone,pass,Published phone: +94-11-5980200 ,https://www.slida.lk/,
phone,pass,Published phone: 077 1.017 3.5 1,https://www.slida.lk/,
phone,pass,Published phone: 077 -1.017 3.5 -1,https://www.slida.lk/,
phone,pass,Published phone: 0 1 0 .252 -5.555,https://www.slida.lk/,
phone,pass,Published phone: 017 2.67 -.358 3.,https://www.slida.lk/,
email,pass,Published email: hostel@slida.gov.lk,https://www.slida.lk/,
email,pass,Published email: dg@slida.gov.lk,https://www.slida.lk/,
postal_address,pass,"Published postal address: No: 28/10, Malalasekara Mawatha, Colombo 07, Sri Lanka. Email dg@slida.gov.lk Phone +94-11-5980200 © 2026 Sri Lanka Inst",https://www.slida.lk/,
downloadable_form,pass,Published downloadable form: https://slida-cms.dlad.io/uploads/cbqs_39029133a6.pdf,https://www.slida.lk/,
phone,pass,Published phone: 0115-980293,https://www.slida.lk/,
phone,pass,Published phone: 017 2.67 .358 3.,https://www.slida.lk/,
phone,pass,Published phone: 0115-980271 ,https://www.slida.lk/,
phone,pass,Published phone: +94-11-5980200,https://www.slida.lk/,
phone,pass,Published phone: 011-5980293 ,https://www.slida.lk/,
phone,pass,Published phone: +94-11-5980200 ,https://www.slida.lk/,
phone,pass,Published phone: 077 1.017 3.5 1,https://www.slida.lk/,
phone,pass,Published phone: 077 -1.017 3.5 -1,https://www.slida.lk/,
phone,pass,Published phone: 0 1 0 .252 -5.555,https://www.slida.lk/,
phone,pass,Published phone: 017 2.67 -.358 3.,https://www.slida.lk/,
email,pass,Published email: hostel@slida.gov.lk,https://www.slida.lk/,
email,pass,Published email: dg@slida.gov.lk,https://www.slida.lk/,
postal_address,pass,"Published postal address: No: 28/10, Malalasekara Mawatha, Colombo 07, Sri Lanka. Email dg@slida.gov.lk Phone +94-11-5980200 © 2026 Sri Lanka Inst",https://www.slida.lk/,
downloadable_form,pass,Published downloadable form: https://slida-cms.dlad.io/uploads/cbqs_39029133a6.pdf,https://www.slida.lk/,
phone,pass,Published phone: 0115-980293,https://www.slida.lk/,
phone,pass,Published phone: 017 2.67 .358 3.,https://www.slida.lk/,
phone,pass,Published phone: 0115-980271 ,https://www.slida.lk/,
phone,pass,Published phone: +94-11-5980200,https://www.slida.lk/,
phone,pass,Published phone: 011-5980293 ,https://www.slida.lk/,
phone,pass,Published phone: +94-11-5980200 ,https://www.slida.lk/,
phone,pass,Published phone: 077 1.017 3.5 1,https://www.slida.lk/,
phone,pass,Published phone: 077 -1.017 3.5 -1,https://www.slida.lk/,
