check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:03.993403+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:03.993427+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:04.496143+05:30
http,pass,Probe 1: HTTP 200 at https://nimh.health.gov.lk/,https://nimh.health.gov.lk/,2026-09-08T23:49:46.275749+05:30
http,pass,Probe 2: HTTP 200 at https://nimh.health.gov.lk/,http://nimh.health.gov.lk/,2026-09-08T23:49:46.275778+05:30
http,pass,Probe 3: HTTP 200 at https://nimh.health.gov.lk/,https://nimh.health.gov.lk/,2026-09-08T23:49:46.275782+05:30
http,pass,Probe 4: HTTP 200 at https://nimh.health.gov.lk/,http://nimh.health.gov.lk/,2026-09-08T23:49:46.275785+05:30
http,pass,Probe 5: HTTP 200 at https://nimh.health.gov.lk/en/,https://nimh.health.gov.lk/en/,2026-09-08T23:49:46.275788+05:30
http,pass,Probe 6: HTTP 200 at https://nimh.health.gov.lk/si/,https://nimh.health.gov.lk/si/,2026-09-08T23:49:46.275791+05:30
http,pass,Probe 7: HTTP 200 at https://nimh.health.gov.lk/ta/,https://nimh.health.gov.lk/ta/,2026-09-08T23:49:46.275793+05:30
http,pass,Probe 8: HTTP 200 at https://nimh.health.gov.lk/en/ethical-review-committee/,https://nimh.health.gov.lk/en/ethical-review-committee/,2026-09-08T23:49:46.275796+05:30
http,pass,Probe 9: HTTP 200 at https://nimh.health.gov.lk/en/training-research/nimh-observership-application-form/,https://nimh.health.gov.lk/en/training-research/nimh-observership-application-form/,2026-09-08T23:49:46.275799+05:30
http,pass,Probe 10: HTTP 200 at https://nimh.health.gov.lk/en/sgno-office/,https://nimh.health.gov.lk/en/sgno-office/,2026-09-08T23:49:46.275802+05:30
http,pass,Probe 11: HTTP 200 at https://nimh.health.gov.lk/en/administration-department/,https://nimh.health.gov.lk/en/administration-department/,2026-09-08T23:49:46.275805+05:30
http,pass,Probe 12: HTTP 200 at https://nimh.health.gov.lk/en/accounts-department/,https://nimh.health.gov.lk/en/accounts-department/,2026-09-08T23:49:46.275807+05:30
http,pass,Probe 13: HTTP 200 at https://nimh.health.gov.lk/en/contact-us/,https://nimh.health.gov.lk/en/contact-us/,2026-09-08T23:49:46.275821+05:30
http,pass,Probe 14: HTTP 200 at https://nimh.health.gov.lk/en/,https://nimh.health.gov.lk/en,2026-09-08T23:49:46.275824+05:30
phone,pass,Published phone: 1926,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94113140844 ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94113140844,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578556,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578556 ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578234 - ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578234,https://nimh.health.gov.lk/,
postal_address,pass,"Published postal address: NIMH, Mulleriyawa New Town Telephone: +94112578234 - 7 National Mental Health Helpline: 1926 Day Treatment Centre: +9411",https://nimh.health.gov.lk/,
phone,pass,Published phone: 1926,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94113140844 ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94113140844,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578556,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578556 ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578234 - ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578234,https://nimh.health.gov.lk/,
postal_address,pass,"Published postal address: NIMH, Mulleriyawa New Town Telephone: +94112578234 - 7 National Mental Health Helpline: 1926 Day Treatment Centre: +9411",https://nimh.health.gov.lk/,
phone,pass,Published phone: 1926,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94113140844 ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94113140844,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578556,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578556 ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578234 - ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578234,https://nimh.health.gov.lk/,
postal_address,pass,"Published postal address: NIMH, Mulleriyawa New Town Telephone: +94112578234 - 7 National Mental Health Helpline: 1926 Day Treatment Centre: +9411",https://nimh.health.gov.lk/,
phone,pass,Published phone: 1926,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94113140844 ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94113140844,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578556,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578556 ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578234 - ,https://nimh.health.gov.lk/,
phone,pass,Published phone: +94112578234,https://nimh.health.gov.lk/,
postal_address,pass,"Published postal address: NIMH, Mulleriyawa New Town Telephone: +94112578234 - 7 National Mental Health Helpline: 1926 Day Treatment Centre: +9411",https://nimh.health.gov.lk/,
phone,pass,Published phone: 1926,https://nimh.health.gov.lk/en/,
phone,pass,Published phone: +94113140844 ,https://nimh.health.gov.lk/en/,
phone,pass,Published phone: +94113140844,https://nimh.health.gov.lk/en/,
phone,pass,Published phone: 0359575300,https://nimh.health.gov.lk/en/,
phone,pass,Published phone: +94113048010,https://nimh.health.gov.lk/en/,
phone,pass,Published phone: +94112578556 ,https://nimh.health.gov.lk/en/,
phone,pass,Published phone: +94112578234 - ,https://nimh.health.gov.lk/en/,
phone,pass,Published phone: +94112578234,https://nimh.health.gov.lk/en/,
postal_address,pass,"Published postal address: NIMH, Mulleriyawa New Town Telephone : +94112578234 - 7 National Mental Health Helpline : 1926 Day Treatment Centre : +9",https://nimh.health.gov.lk/en/,
named_responsibility,pass,Published named responsibility: director,https://nimh.health.gov.lk/en/,
phone,pass,Published phone: 1926,https://nimh.health.gov.lk/si/,
phone,pass,Published phone: +94113140844 ,https://nimh.health.gov.lk/si/,
phone,pass,Published phone: +94113140844,https://nimh.health.gov.lk/si/,
phone,pass,Published phone: 0359575300,https://nimh.health.gov.lk/si/,
phone,pass,Published phone: +94113048010,https://nimh.health.gov.lk/si/,
phone,pass,Published phone: +94112578556 ,https://nimh.health.gov.lk/si/,
phone,pass,Published phone: +94112578234 - ,https://nimh.health.gov.lk/si/,
phone,pass,Published phone: +94112578234,https://nimh.health.gov.lk/si/,
named_responsibility,pass,Published named responsibility: director,https://nimh.health.gov.lk/si/,
phone,pass,Published phone: 1926,https://nimh.health.gov.lk/ta/,
phone,pass,Published phone: +94113140844 ,https://nimh.health.gov.lk/ta/,
phone,pass,Published phone: +94113140844,https://nimh.health.gov.lk/ta/,
phone,pass,Published phone: 0359575300,https://nimh.health.gov.lk/ta/,
phone,pass,Published phone: +94113048010,https://nimh.health.gov.lk/ta/,
phone,pass,Published phone: +94112578556 ,https://nimh.health.gov.lk/ta/,
phone,pass,Published phone: +94112578234 - ,https://nimh.health.gov.lk/ta/,
phone,pass,Published phone: +94112578234,https://nimh.health.gov.lk/ta/,
phone,pass,Published phone: 1926,https://nimh.health.gov.lk/en/ethical-review-committee/,
phone,pass,Published phone: +94113140844 ,https://nimh.health.gov.lk/en/ethical-review-committee/,
