check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:26:41.747549+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:26:41.747568+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:26:41.829378+05:30
http,pass,Probe 1: HTTP 200 at https://ranaviruseva.gov.lk/,https://ranaviruseva.gov.lk/,2026-09-08T23:26:56.976484+05:30
http,pass,Probe 2: HTTP 200 at https://ranaviruseva.gov.lk/,http://ranaviruseva.gov.lk/,2026-09-08T23:26:56.976501+05:30
http,pass,Probe 3: HTTP 200 at https://ranaviruseva.gov.lk/,https://ranaviruseva.gov.lk/,2026-09-08T23:26:56.976505+05:30
http,pass,Probe 4: HTTP 200 at https://ranaviruseva.gov.lk/,http://ranaviruseva.gov.lk/,2026-09-08T23:26:56.976508+05:30
http,pass,Probe 5: HTTP 200 at https://ranaviruseva.gov.lk/rvsacontact.php,https://ranaviruseva.gov.lk/rvsacontact.php,2026-09-08T23:26:56.976511+05:30
http,pass,Probe 6: HTTP 200 at https://ranaviruseva.gov.lk/index.php,https://ranaviruseva.gov.lk/index.php,2026-09-08T23:26:56.976514+05:30
http,pass,Probe 7: HTTP 200 at https://ranaviruseva.gov.lk/ranaviru.php,https://ranaviruseva.gov.lk/ranaviru.php,2026-09-08T23:26:56.976517+05:30
http,pass,Probe 8: HTTP 200 at https://ranaviruseva.gov.lk/history.php,https://ranaviruseva.gov.lk/history.php,2026-09-08T23:26:56.976520+05:30
http,pass,Probe 9: HTTP 200 at https://ranaviruseva.gov.lk/vision.php,https://ranaviruseva.gov.lk/vision.php,2026-09-08T23:26:56.976523+05:30
http,pass,Probe 10: HTTP 200 at https://ranaviruseva.gov.lk/act.php,https://ranaviruseva.gov.lk/act.php,2026-09-08T23:26:56.976525+05:30
http,pass,Probe 11: HTTP 200 at https://ranaviruseva.gov.lk/structure.php,https://ranaviruseva.gov.lk/structure.php,2026-09-08T23:26:56.976528+05:30
http,pass,Probe 12: HTTP 200 at https://ranaviruseva.gov.lk/board.php,https://ranaviruseva.gov.lk/board.php,2026-09-08T23:26:56.976530+05:30
http,pass,Probe 13: HTTP 200 at https://ranaviruseva.gov.lk/after_care_rehabilitation_section.php,https://ranaviruseva.gov.lk/after_care_rehabilitation_section.php,2026-09-08T23:26:56.976533+05:30
http,pass,Probe 14: HTTP 200 at https://ranaviruseva.gov.lk/housing_infrastructure_development_section.php,https://ranaviruseva.gov.lk/housing_infrastructure_development_section.php,2026-09-08T23:26:56.976535+05:30
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/,
phone,pass,Published phone: 011-2055676 ,https://ranaviruseva.gov.lk/rvsacontact.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/rvsacontact.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/rvsacontact.php,
phone,pass,Published phone: 011-2055673 ,https://ranaviruseva.gov.lk/rvsacontact.php,
phone,pass,Published phone: 011-2055671 ,https://ranaviruseva.gov.lk/rvsacontact.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/rvsacontact.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/index.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/index.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/index.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/ranaviru.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/ranaviru.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/ranaviru.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/history.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/history.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/history.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/vision.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/vision.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/vision.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/act.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/act.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/act.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/structure.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/structure.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/structure.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/board.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/board.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/board.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/after_care_rehabilitation_section.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/after_care_rehabilitation_section.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/after_care_rehabilitation_section.php,
phone,pass,Published phone: 071-3212505 ,https://ranaviruseva.gov.lk/housing_infrastructure_development_section.php,
phone,pass,Published phone: 011 2 055673 ,https://ranaviruseva.gov.lk/housing_infrastructure_development_section.php,
email,pass,Published email: ranaviruseva@gmail.com,https://ranaviruseva.gov.lk/housing_infrastructure_development_section.php,
page_text,pass,Substantive page content: 7870 visible characters across 14 pages,https://ranaviruseva.gov.lk/,
