check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:52:09.663982+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:52:09.663999+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:52:11.365313+05:30
http,pass,Probe 1: HTTP 200 at https://ecsl.gov.lk/,https://ecsl.gov.lk/,2026-09-08T23:52:33.253068+05:30
http,pass,Probe 2: HTTP 200 at https://ecsl.gov.lk/,http://ecsl.gov.lk/,2026-09-08T23:52:33.253091+05:30
http,pass,Probe 3: HTTP 200 at https://ecsl.gov.lk/,https://ecsl.gov.lk/,2026-09-08T23:52:33.253095+05:30
http,pass,Probe 4: HTTP 200 at https://ecsl.gov.lk/,http://ecsl.gov.lk/,2026-09-08T23:52:33.253098+05:30
http,pass,Probe 5: HTTP 200 at https://ecsl.gov.lk/about-engineering-council-of-sri-lanka,https://ecsl.gov.lk/about-engineering-council-of-sri-lanka,2026-09-08T23:52:33.253101+05:30
http,pass,Probe 6: HTTP 200 at https://ecsl.gov.lk/publications,https://ecsl.gov.lk/publications,2026-09-08T23:52:33.253104+05:30
http,pass,Probe 7: HTTP 200 at https://ecsl.gov.lk/pages/foreign-engineering-practitioners,https://ecsl.gov.lk/pages/foreign-engineering-practitioners,2026-09-08T23:52:33.253107+05:30
http,pass,Probe 8: HTTP 200 at https://ecsl.gov.lk/pages/registration-of-engineering-technicians,https://ecsl.gov.lk/pages/registration-of-engineering-technicians,2026-09-08T23:52:33.253109+05:30
http,pass,Probe 9: HTTP 200 at https://ecsl.gov.lk/pages/registration-of-non-engineering-technicians,https://ecsl.gov.lk/pages/registration-of-non-engineering-technicians,2026-09-08T23:52:33.253112+05:30
http,pass,Probe 10: HTTP 200 at https://ecsl.gov.lk/code-of-ethics,https://ecsl.gov.lk/code-of-ethics,2026-09-08T23:52:33.253115+05:30
http,pass,Probe 11: HTTP 200 at https://ecsl.gov.lk/guidelines-for-complaints,https://ecsl.gov.lk/guidelines-for-complaints,2026-09-08T23:52:33.253117+05:30
http,pass,Probe 12: HTTP 200 at https://ecsl.gov.lk/regulations,https://ecsl.gov.lk/regulations,2026-09-08T23:52:33.253120+05:30
