check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:50:15.257846+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:50:15.257870+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:50:15.951524+05:30
http,pass,Probe 1: HTTP 200 at https://nata.gov.lk/index.php/en,https://nata.gov.lk/,2026-09-08T23:50:51.464954+05:30
http,pass,Probe 2: HTTP 200 at http://nata.gov.lk/index.php/en,http://nata.gov.lk/,2026-09-08T23:50:51.464976+05:30
http,pass,Probe 3: HTTP 200 at https://nata.gov.lk/index.php/en,https://nata.gov.lk/,2026-09-08T23:50:51.464980+05:30
http,pass,Probe 4: HTTP 200 at http://nata.gov.lk/index.php/en,http://nata.gov.lk/,2026-09-08T23:50:51.464983+05:30
http,pass,Probe 5: HTTP 200 at https://nata.gov.lk/index.php/en/services,https://nata.gov.lk/index.php/en/services,2026-09-08T23:50:51.464986+05:30
http,pass,Probe 6: HTTP 200 at https://nata.gov.lk/index.php/en/contact-us/inquiry,https://nata.gov.lk/index.php/en/contact-us/inquiry,2026-09-08T23:50:51.464989+05:30
http,pass,Probe 7: HTTP 200 at https://nata.gov.lk/index.php/en/contact-us/contact-details,https://nata.gov.lk/index.php/en/contact-us/contact-details,2026-09-08T23:50:51.464991+05:30
http,pass,Probe 8: HTTP 200 at https://nata.gov.lk/index.php/en/services1,https://nata.gov.lk/index.php/en/services1,2026-09-08T23:50:51.464994+05:30
http,pass,Probe 9: HTTP 200 at https://nata.gov.lk/index.php/en,https://nata.gov.lk/,2026-09-08T23:50:51.464996+05:30
http,pass,Probe 10: HTTP 200 at https://nata.gov.lk/index.php/en/search,https://nata.gov.lk/index.php/search,2026-09-08T23:50:51.464999+05:30
http,pass,Probe 11: HTTP 200 at https://nata.gov.lk/index.php/si,https://nata.gov.lk/index.php/si,2026-09-08T23:50:51.465002+05:30
http,pass,Probe 12: HTTP 200 at https://nata.gov.lk/index.php/ta,https://nata.gov.lk/index.php/ta,2026-09-08T23:50:51.465004+05:30
http,pass,Probe 13: HTTP 200 at https://nata.gov.lk/index.php/en/about-us/overview,https://nata.gov.lk/index.php/en/about-us/overview,2026-09-08T23:50:51.465007+05:30
http,pass,Probe 14: HTTP 200 at https://nata.gov.lk/index.php/en/about-us/organizational-structure,https://nata.gov.lk/index.php/en/about-us/organizational-structure,2026-09-08T23:50:51.465009+05:30
phone,pass,Published phone: +94 112 187 140 ,https://nata.gov.lk/index.php/en,
phone,pass,Published phone: +94 112 186 024 ,https://nata.gov.lk/index.php/en,
email,pass,Published email: natamoh.lk@gmail.com,https://nata.gov.lk/index.php/en,
named_responsibility,pass,Published named responsibility: department,https://nata.gov.lk/index.php/en,
legal_basis,pass,Published legal basis: regulations,https://nata.gov.lk/index.php/en,
phone,pass,Published phone: +94 112 187 140 ,http://nata.gov.lk/index.php/en,
phone,pass,Published phone: +94 112 186 024 ,http://nata.gov.lk/index.php/en,
email,pass,Published email: natamoh.lk@gmail.com,http://nata.gov.lk/index.php/en,
named_responsibility,pass,Published named responsibility: department,http://nata.gov.lk/index.php/en,
legal_basis,pass,Published legal basis: regulations,http://nata.gov.lk/index.php/en,
phone,pass,Published phone: +94 112 187 140 ,https://nata.gov.lk/index.php/en,
phone,pass,Published phone: +94 112 186 024 ,https://nata.gov.lk/index.php/en,
email,pass,Published email: natamoh.lk@gmail.com,https://nata.gov.lk/index.php/en,
named_responsibility,pass,Published named responsibility: department,https://nata.gov.lk/index.php/en,
legal_basis,pass,Published legal basis: regulations,https://nata.gov.lk/index.php/en,
phone,pass,Published phone: +94 112 187 140 ,http://nata.gov.lk/index.php/en,
phone,pass,Published phone: +94 112 186 024 ,http://nata.gov.lk/index.php/en,
email,pass,Published email: natamoh.lk@gmail.com,http://nata.gov.lk/index.php/en,
named_responsibility,pass,Published named responsibility: department,http://nata.gov.lk/index.php/en,
legal_basis,pass,Published legal basis: regulations,http://nata.gov.lk/index.php/en,
phone,pass,Published phone: +94 112 187 140 ,https://nata.gov.lk/index.php/en/services,
phone,pass,Published phone: +94 112 186 024 ,https://nata.gov.lk/index.php/en/services,
email,pass,Published email: natamoh.lk@gmail.com,https://nata.gov.lk/index.php/en/services,
legal_basis,pass,Published legal basis: regulations,https://nata.gov.lk/index.php/en/services,
phone,pass,Published phone: +94 112 187 140 ,https://nata.gov.lk/index.php/en/contact-us/inquiry,
phone,pass,Published phone: +94 112 186 024 ,https://nata.gov.lk/index.php/en/contact-us/inquiry,
email,pass,Published email: natamoh.lk@gmail.com,https://nata.gov.lk/index.php/en/contact-us/inquiry,
legal_basis,pass,Published legal basis: regulations,https://nata.gov.lk/index.php/en/contact-us/inquiry,
phone,pass,Published phone: +94 112 187 140 ,https://nata.gov.lk/index.php/en/contact-us/contact-details,
