check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:00:36.425401+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:00:36.425422+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:00:36.448190+05:30
http,pass,Probe 1: HTTP 200 at https://nerdc.lk/,https://nerdc.lk/,2026-09-09T00:00:58.501302+05:30
http,pass,Probe 2: HTTP 200 at https://nerdc.lk/,http://nerdc.lk/,2026-09-09T00:00:58.501323+05:30
http,pass,Probe 3: HTTP 200 at https://nerdc.lk/,https://nerdc.lk/,2026-09-09T00:00:58.501326+05:30
http,pass,Probe 4: HTTP 200 at https://nerdc.lk/,http://nerdc.lk/,2026-09-09T00:00:58.501330+05:30
http,pass,Probe 5: HTTP 200 at https://nerdc.lk/about/our-departments/,https://nerdc.lk/about/our-departments/,2026-09-09T00:00:58.501332+05:30
http,pass,Probe 6: HTTP 200 at https://nerdc.lk/projects-services/special-projects/,https://nerdc.lk/projects-services/special-projects/,2026-09-09T00:00:58.501335+05:30
http,pass,Probe 7: HTTP 200 at https://nerdc.lk/projects-services/construction-projects/,https://nerdc.lk/projects-services/construction-projects/,2026-09-09T00:00:58.501338+05:30
http,pass,Probe 8: HTTP 200 at https://nerdc.lk/projects-services/consultancy/,https://nerdc.lk/projects-services/consultancy/,2026-09-09T00:00:58.501340+05:30
http,pass,Probe 9: HTTP 200 at https://nerdc.lk/projects-services/industrial-services/,https://nerdc.lk/projects-services/industrial-services/,2026-09-09T00:00:58.501343+05:30
http,pass,Probe 10: HTTP 200 at https://nerdc.lk/projects-services/laboratory-facilities/,https://nerdc.lk/projects-services/laboratory-facilities/,2026-09-09T00:00:58.501345+05:30
http,pass,Probe 11: HTTP 200 at https://nerdc.lk/projects-services/technology-incubator/,https://nerdc.lk/projects-services/technology-incubator/,2026-09-09T00:00:58.501348+05:30
http,pass,Probe 12: HTTP 200 at https://nerdc.lk/contact-us/,https://nerdc.lk/contact-us/,2026-09-09T00:00:58.501350+05:30
http,pass,Probe 13: HTTP 200 at https://nerdc.lk/services/,https://nerdc.lk/services,2026-09-09T00:00:58.501353+05:30
http,pass,Probe 14: HTTP 200 at https://nerdc.lk/projects-services/consultancy/,https://nerdc.lk/services/consultancy/,2026-09-09T00:00:58.501355+05:30
phone,pass,Published phone: +94 112 236 284 (,https://nerdc.lk/,
phone,pass,Published phone: 0112100040,https://nerdc.lk/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nerdc.lk/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nerdc.lk/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nerdc.lk/,
phone,pass,Published phone: +94112236284,https://nerdc.lk/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nerdc.lk/,
phone,pass,Published phone: +94 112 236 434 (,https://nerdc.lk/,
phone,pass,Published phone: 011-2100040 ,https://nerdc.lk/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nerdc.lk/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nerdc.lk/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nerdc.lk/,
email,pass,Published email: nerdcentre@nerdc.lk,https://nerdc.lk/,
postal_address,pass,"Published postal address: already exists!"",""es_unexpected_error_notice"":""Oops.. Unexpected error occurred."",""es_invalid_email_notice"":""Invalid ema",https://nerdc.lk/,
named_responsibility,pass,Published named responsibility: director,https://nerdc.lk/,
published_update_date,pass,Published published update date: 21 November 2025,https://nerdc.lk/,
phone,pass,Published phone: +94 112 236 284 (,https://nerdc.lk/,
phone,pass,Published phone: 0112100040,https://nerdc.lk/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nerdc.lk/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nerdc.lk/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nerdc.lk/,
phone,pass,Published phone: +94112236284,https://nerdc.lk/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nerdc.lk/,
phone,pass,Published phone: +94 112 236 434 (,https://nerdc.lk/,
phone,pass,Published phone: 011-2100040 ,https://nerdc.lk/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nerdc.lk/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nerdc.lk/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nerdc.lk/,
email,pass,Published email: nerdcentre@nerdc.lk,https://nerdc.lk/,
postal_address,pass,"Published postal address: already exists!"",""es_unexpected_error_notice"":""Oops.. Unexpected error occurred."",""es_invalid_email_notice"":""Invalid ema",https://nerdc.lk/,
named_responsibility,pass,Published named responsibility: director,https://nerdc.lk/,
published_update_date,pass,Published published update date: 21 November 2025,https://nerdc.lk/,
phone,pass,Published phone: +94 112 236 284 (,https://nerdc.lk/,
phone,pass,Published phone: 0112100040,https://nerdc.lk/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nerdc.lk/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nerdc.lk/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nerdc.lk/,
phone,pass,Published phone: +94112236284,https://nerdc.lk/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nerdc.lk/,
phone,pass,Published phone: +94 112 236 434 (,https://nerdc.lk/,
phone,pass,Published phone: 011-2100040 ,https://nerdc.lk/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nerdc.lk/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nerdc.lk/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nerdc.lk/,
email,pass,Published email: nerdcentre@nerdc.lk,https://nerdc.lk/,
postal_address,pass,"Published postal address: already exists!"",""es_unexpected_error_notice"":""Oops.. Unexpected error occurred."",""es_invalid_email_notice"":""Invalid ema",https://nerdc.lk/,
named_responsibility,pass,Published named responsibility: director,https://nerdc.lk/,
published_update_date,pass,Published published update date: 21 November 2025,https://nerdc.lk/,
phone,pass,Published phone: +94 112 236 284 (,https://nerdc.lk/,
phone,pass,Published phone: 0112100040,https://nerdc.lk/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nerdc.lk/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nerdc.lk/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nerdc.lk/,
phone,pass,Published phone: +94112236284,https://nerdc.lk/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nerdc.lk/,
phone,pass,Published phone: +94 112 236 434 (,https://nerdc.lk/,
phone,pass,Published phone: 011-2100040 ,https://nerdc.lk/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nerdc.lk/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nerdc.lk/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nerdc.lk/,
email,pass,Published email: nerdcentre@nerdc.lk,https://nerdc.lk/,
postal_address,pass,"Published postal address: already exists!"",""es_unexpected_error_notice"":""Oops.. Unexpected error occurred."",""es_invalid_email_notice"":""Invalid ema",https://nerdc.lk/,
named_responsibility,pass,Published named responsibility: director,https://nerdc.lk/,
published_update_date,pass,Published published update date: 21 November 2025,https://nerdc.lk/,
phone,pass,Published phone: +94 112 236 284 (,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 0112100040,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 0.59 6.41 5 5 6.4,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 0.59 12 7 8.41 8.,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: +94112236284,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 01-.91 7-4.49 7-8.,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: +94 112 236 434 (,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 011-2100040 ,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 0 10 10 10-4.47 ,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 0-1.77-1.02-3.29-,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: 0.59 12 5 17.59 ,https://nerdc.lk/about/our-departments/,
email,pass,Published email: nerdcentre@nerdc.lk,https://nerdc.lk/about/our-departments/,
postal_address,pass,"Published postal address: already exists!"",""es_unexpected_error_notice"":""Oops.. Unexpected error occurred."",""es_invalid_email_notice"":""Invalid ema",https://nerdc.lk/about/our-departments/,
named_responsibility,pass,Published named responsibility: director,https://nerdc.lk/about/our-departments/,
fees_and_payment,pass,"Published fees and payment: rs,",https://nerdc.lk/about/our-departments/,
published_update_date,pass,Published published update date: 04-09-2026,https://nerdc.lk/about/our-departments/,
phone,pass,Published phone: +94 112 236 284 (,https://nerdc.lk/projects-services/special-projects/,
phone,pass,Published phone: 0112100040,https://nerdc.lk/projects-services/special-projects/,
phone,pass,Published phone: 0.59 15.59 7 17 ,https://nerdc.lk/projects-services/special-projects/,
