check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:03:50.947968+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:03:50.948010+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:03:51.326727+05:30
http,pass,Probe 1: HTTP 200 at https://childprotection.gov.lk/en/,https://childprotection.gov.lk/,2026-09-09T00:04:27.878847+05:30
http,pass,Probe 2: HTTP 200 at https://childprotection.gov.lk/en/,http://childprotection.gov.lk/,2026-09-09T00:04:27.878869+05:30
http,pass,Probe 3: HTTP 200 at https://childprotection.gov.lk/en/,https://childprotection.gov.lk/,2026-09-09T00:04:27.878873+05:30
http,pass,Probe 4: HTTP 200 at https://childprotection.gov.lk/en/,http://childprotection.gov.lk/,2026-09-09T00:04:27.878876+05:30
http,pass,Probe 5: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/institution-monitoring-services,https://childprotection.gov.lk/index.php/en/what-we-do/institution-monitoring-services,2026-09-09T00:04:27.878879+05:30
http,pass,Probe 6: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/psychosocial-services,https://childprotection.gov.lk/index.php/en/what-we-do/psychosocial-services,2026-09-09T00:04:27.878882+05:30
http,pass,Probe 7: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/district-and-division-child-protection-service,https://childprotection.gov.lk/index.php/en/what-we-do/district-and-division-child-protection-service,2026-09-09T00:04:27.878885+05:30
http,pass,Probe 8: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/legal-services,https://childprotection.gov.lk/index.php/en/what-we-do/legal-services,2026-09-09T00:04:27.878888+05:30
http,pass,Probe 9: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/programme-development-services,https://childprotection.gov.lk/index.php/en/what-we-do/programme-development-services,2026-09-09T00:04:27.878890+05:30
http,pass,Probe 10: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/planning-and-information-services/planning-and-monitoring-unit,https://childprotection.gov.lk/index.php/en/what-we-do/planning-and-information-services/planning-and-monitoring-unit,2026-09-09T00:04:27.878893+05:30
http,pass,Probe 11: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/planning-and-information-services/media-information-unit,https://childprotection.gov.lk/index.php/en/what-we-do/planning-and-information-services/media-information-unit,2026-09-09T00:04:27.878896+05:30
http,pass,Probe 12: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/law-enforcement-services/video-evidence-unit,https://childprotection.gov.lk/index.php/en/what-we-do/law-enforcement-services/video-evidence-unit,2026-09-09T00:04:27.878898+05:30
http,pass,Probe 13: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/law-enforcement-services/cyber-crime-division,https://childprotection.gov.lk/index.php/en/what-we-do/law-enforcement-services/cyber-crime-division,2026-09-09T00:04:27.878901+05:30
http,pass,Probe 14: HTTP 200 at https://childprotection.gov.lk/en/what-we-do/law-enforcement-services/investigations,https://childprotection.gov.lk/index.php/en/what-we-do/law-enforcement-services/investigations,2026-09-09T00:04:27.878903+05:30
phone,pass,Published phone: +94 11 2 778 911,https://childprotection.gov.lk/en/,
phone,pass,Published phone: +94 11 2 778 915 ,https://childprotection.gov.lk/en/,
phone,pass,Published phone: +94 11 2 778 911 ,https://childprotection.gov.lk/en/,
phone,pass,Published phone: 1929,https://childprotection.gov.lk/en/,
email,pass,Published email: ncpa@childprotection.gov.lk,https://childprotection.gov.lk/en/,
postal_address,pass,"Published postal address: the humanitarian concerns relating to children affected by armed conflict and the protection of such children, including",https://childprotection.gov.lk/en/,
named_responsibility,pass,Published named responsibility: division,https://childprotection.gov.lk/en/,
phone,pass,Published phone: +94 11 2 778 911,https://childprotection.gov.lk/en/,
phone,pass,Published phone: +94 11 2 778 915 ,https://childprotection.gov.lk/en/,
phone,pass,Published phone: +94 11 2 778 911 ,https://childprotection.gov.lk/en/,
phone,pass,Published phone: 1929,https://childprotection.gov.lk/en/,
email,pass,Published email: ncpa@childprotection.gov.lk,https://childprotection.gov.lk/en/,
postal_address,pass,"Published postal address: the humanitarian concerns relating to children affected by armed conflict and the protection of such children, including",https://childprotection.gov.lk/en/,
