check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:37:16.277333+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:37:16.277343+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:37:17.008407+05:30
http,pass,Probe 1: HTTP 200 at https://www.grandoriental.com/,https://www.grandoriental.com/,2026-09-08T23:37:39.026219+05:30
http,pass,Probe 2: HTTP 200 at https://www.grandoriental.com/,http://www.grandoriental.com/,2026-09-08T23:37:39.026240+05:30
http,pass,Probe 3: HTTP 200 at https://www.grandoriental.com/,https://www.grandoriental.com/,2026-09-08T23:37:39.026244+05:30
http,pass,Probe 4: HTTP 200 at https://www.grandoriental.com/,http://www.grandoriental.com/,2026-09-08T23:37:39.026247+05:30
http,pass,Probe 5: HTTP 200 at https://www.grandoriental.com/contact-us.html,https://www.grandoriental.com/contact-us.html,2026-09-08T23:37:39.026250+05:30
http,pass,Probe 6: HTTP 200 at https://www.grandoriental.com/colombo-restaurants/room-service.html,https://www.grandoriental.com/colombo-restaurants/room-service.html,2026-09-08T23:37:39.026253+05:30
http,pass,Probe 7: HTTP 200 at https://www.grandoriental.com/colombo-hotels-offers-and-deals/,https://www.grandoriental.com/colombo-hotels-offers-and-deals/,2026-09-08T23:37:39.026256+05:30
http,pass,Probe 8: HTTP 200 at https://www.grandoriental.com/colombo-hotels/,https://www.grandoriental.com/colombo-hotels/,2026-09-08T23:37:39.026258+05:30
http,pass,Probe 9: HTTP 200 at https://www.grandoriental.com/colombo-restaurants/,https://www.grandoriental.com/colombo-restaurants/,2026-09-08T23:37:39.026261+05:30
http,pass,Probe 10: HTTP 200 at https://www.grandoriental.com/meetings-and-events/,https://www.grandoriental.com/meetings-and-events,2026-09-08T23:37:39.026263+05:30
http,pass,Probe 11: HTTP 200 at https://www.grandoriental.com/things-to-do-in-colombo/,https://www.grandoriental.com/things-to-do-in-colombo/,2026-09-08T23:37:39.026266+05:30
http,pass,Probe 12: HTTP 200 at https://www.grandoriental.com/spa/,https://www.grandoriental.com/spa,2026-09-08T23:37:39.026268+05:30
http,pass,Probe 13: HTTP 200 at https://www.grandoriental.com/events-and-highlights/,https://www.grandoriental.com/events-and-highlights/,2026-09-08T23:37:39.026271+05:30
http,pass,Probe 14: HTTP 200 at https://www.grandoriental.com/our-history-and-heritage/,https://www.grandoriental.com/our-history-and-heritage,2026-09-08T23:37:39.026274+05:30
phone,pass,Published phone: +94 77 971 6932,https://www.grandoriental.com/,
phone,pass,Published phone: 0112320320,https://www.grandoriental.com/,
phone,pass,Published phone: +94 77 971 6932 ,https://www.grandoriental.com/,
phone,pass,Published phone: +94 112 320 391,https://www.grandoriental.com/,
phone,pass,Published phone: +94 77 770 7551,https://www.grandoriental.com/,
phone,pass,Published phone: 0112 320 320 ,https://www.grandoriental.com/,
phone,pass,Published phone: +94 77 770 7551 ,https://www.grandoriental.com/,
email,pass,Published email: rdm@grandoriental.com,https://www.grandoriental.com/,
postal_address,pass,Published postal address: Grand Oriental Hotel Colombo - Hotels in Colombo Sri Lanka,https://www.grandoriental.com/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.grandoriental.com/,
phone,pass,Published phone: +94 77 971 6932,https://www.grandoriental.com/,
phone,pass,Published phone: 0112320320,https://www.grandoriental.com/,
phone,pass,Published phone: +94 77 971 6932 ,https://www.grandoriental.com/,
phone,pass,Published phone: +94 112 320 391,https://www.grandoriental.com/,
phone,pass,Published phone: +94 77 770 7551,https://www.grandoriental.com/,
phone,pass,Published phone: 0112 320 320 ,https://www.grandoriental.com/,
phone,pass,Published phone: +94 77 770 7551 ,https://www.grandoriental.com/,
email,pass,Published email: rdm@grandoriental.com,https://www.grandoriental.com/,
