check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:37:42.025887+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:37:42.025906+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:37:42.426773+05:30
http,pass,Probe 1: HTTP 200 at https://pml.lk/,https://pml.lk/,2026-09-08T23:38:44.803331+05:30
http,pass,Probe 2: HTTP 200 at https://pml.lk/,http://pml.lk/,2026-09-08T23:38:44.803354+05:30
http,pass,Probe 3: HTTP 200 at https://pml.lk/,https://pml.lk/,2026-09-08T23:38:44.803358+05:30
http,pass,Probe 4: HTTP 200 at https://pml.lk/,http://pml.lk/,2026-09-08T23:38:44.803360+05:30
http,pass,Probe 5: HTTP 200 at https://pml.lk/contact-us/,https://pml.lk/contact-us,2026-09-08T23:38:44.803363+05:30
http,pass,Probe 6: HTTP 200 at https://pml.lk/contact-us/,https://pml.lk/contact,2026-09-08T23:38:44.803366+05:30
http,pass,Probe 7: HTTP 200 at https://pml.lk/about-us/,https://pml.lk/about-us,2026-09-08T23:38:44.803368+05:30
http,pass,Probe 8: HTTP 200 at https://pml.lk/products/,https://pml.lk/products,2026-09-08T23:38:44.803371+05:30
http,pass,Probe 9: HTTP 200 at https://pml.lk/branches/,https://pml.lk/branches,2026-09-08T23:38:44.803374+05:30
http,pass,Probe 10: HTTP 200 at https://pml.lk/news-events/,https://pml.lk/news-events,2026-09-08T23:38:44.803377+05:30
http,pass,Probe 11: HTTP 200 at https://pml.lk/investor-relations/,https://pml.lk/investor-relations/,2026-09-08T23:38:44.803380+05:30
http,pass,Probe 12: HTTP 200 at https://pml.lk/careers/,https://pml.lk/careers,2026-09-08T23:38:44.803382+05:30
http,pass,Probe 13: HTTP 200 at https://pml.lk/tender-and-auction/,https://pml.lk/tender-and-auction,2026-09-08T23:38:44.803385+05:30
http,pass,Probe 14: HTTP 200 at https://pml.lk/products/,https://pml.lk/products/,2026-09-08T23:38:44.803387+05:30
phone,pass,Published phone: 025-06-03-105,https://pml.lk/,
phone,pass,Published phone: +94 112 890 990 ,https://pml.lk/,
phone,pass,Published phone: +94 112 890 990,https://pml.lk/,
phone,pass,Published phone: 0112 890 990 ,https://pml.lk/,
phone,pass,Published phone: +94112890990,https://pml.lk/,
phone,pass,Published phone: 0112 890 990,https://pml.lk/,
email,pass,Published email: microweb.global@gmail.com,https://pml.lk/,
email,pass,Published email: info.pml@plc.lk,https://pml.lk/,
postal_address,pass,Published postal address: Loan Amount LKR Loan Purpose * Select your nearest PML branch Anuradhapura Kegalle Ampara Batticaloa Badulla Avissawella,https://pml.lk/,
processing_time,pass,Published processing time: 24 hours,https://pml.lk/,
phone,pass,Published phone: 025-06-03-105,https://pml.lk/,
phone,pass,Published phone: +94 112 890 990 ,https://pml.lk/,
phone,pass,Published phone: +94 112 890 990,https://pml.lk/,
phone,pass,Published phone: 0112 890 990 ,https://pml.lk/,
phone,pass,Published phone: +94112890990,https://pml.lk/,
phone,pass,Published phone: 0112 890 990,https://pml.lk/,
email,pass,Published email: microweb.global@gmail.com,https://pml.lk/,
email,pass,Published email: info.pml@plc.lk,https://pml.lk/,
postal_address,pass,Published postal address: Loan Amount LKR Loan Purpose * Select your nearest PML branch Anuradhapura Kegalle Ampara Batticaloa Badulla Avissawella,https://pml.lk/,
processing_time,pass,Published processing time: 24 hours,https://pml.lk/,
phone,pass,Published phone: 025-06-03-105,https://pml.lk/,
phone,pass,Published phone: +94 112 890 990 ,https://pml.lk/,
phone,pass,Published phone: +94 112 890 990,https://pml.lk/,
phone,pass,Published phone: 0112 890 990 ,https://pml.lk/,
phone,pass,Published phone: +94112890990,https://pml.lk/,
phone,pass,Published phone: 0112 890 990,https://pml.lk/,
email,pass,Published email: microweb.global@gmail.com,https://pml.lk/,
email,pass,Published email: info.pml@plc.lk,https://pml.lk/,
postal_address,pass,Published postal address: Loan Amount LKR Loan Purpose * Select your nearest PML branch Anuradhapura Kegalle Ampara Batticaloa Badulla Avissawella,https://pml.lk/,
processing_time,pass,Published processing time: 24 hours,https://pml.lk/,
phone,pass,Published phone: 025-06-03-105,https://pml.lk/,
phone,pass,Published phone: +94 112 890 990 ,https://pml.lk/,
phone,pass,Published phone: +94 112 890 990,https://pml.lk/,
phone,pass,Published phone: 0112 890 990 ,https://pml.lk/,
phone,pass,Published phone: +94112890990,https://pml.lk/,
phone,pass,Published phone: 0112 890 990,https://pml.lk/,
email,pass,Published email: microweb.global@gmail.com,https://pml.lk/,
email,pass,Published email: info.pml@plc.lk,https://pml.lk/,
postal_address,pass,Published postal address: Loan Amount LKR Loan Purpose * Select your nearest PML branch Anuradhapura Kegalle Ampara Batticaloa Badulla Avissawella,https://pml.lk/,
processing_time,pass,Published processing time: 24 hours,https://pml.lk/,
phone,pass,Published phone: 0112890990,https://pml.lk/contact-us/,
phone,pass,Published phone: 025-06-03-105,https://pml.lk/contact-us/,
phone,pass,Published phone: +94 112 890 990 ,https://pml.lk/contact-us/,
phone,pass,Published phone: +94 112 890 990,https://pml.lk/contact-us/,
phone,pass,Published phone: 0112 890 990 ,https://pml.lk/contact-us/,
phone,pass,Published phone: 011-2817653 ,https://pml.lk/contact-us/,
phone,pass,Published phone: +94112890990,https://pml.lk/contact-us/,
phone,pass,Published phone: 0112817653,https://pml.lk/contact-us/,
phone,pass,Published phone: 011-2890990 ,https://pml.lk/contact-us/,
phone,pass,Published phone: 0112 890 990,https://pml.lk/contact-us/,
email,pass,Published email: grievances.pmcl@plc.lk,https://pml.lk/contact-us/,
email,pass,Published email: microweb.global@gmail.com,https://pml.lk/contact-us/,
email,pass,Published email: info.pml@plc.lk,https://pml.lk/contact-us/,
postal_address,pass,Published postal address: * Subject / Title * Message Select your nearest PML branch * Select Branch Nugegoda - Head Office Anuradhapura Kegalle A,https://pml.lk/contact-us/,
phone,pass,Published phone: 0112890990,https://pml.lk/contact-us/,
phone,pass,Published phone: 025-06-03-105,https://pml.lk/contact-us/,
phone,pass,Published phone: +94 112 890 990 ,https://pml.lk/contact-us/,
phone,pass,Published phone: +94 112 890 990,https://pml.lk/contact-us/,
phone,pass,Published phone: 0112 890 990 ,https://pml.lk/contact-us/,
phone,pass,Published phone: 011-2817653 ,https://pml.lk/contact-us/,
phone,pass,Published phone: +94112890990,https://pml.lk/contact-us/,
phone,pass,Published phone: 0112817653,https://pml.lk/contact-us/,
phone,pass,Published phone: 011-2890990 ,https://pml.lk/contact-us/,
phone,pass,Published phone: 0112 890 990,https://pml.lk/contact-us/,
email,pass,Published email: grievances.pmcl@plc.lk,https://pml.lk/contact-us/,
email,pass,Published email: microweb.global@gmail.com,https://pml.lk/contact-us/,
email,pass,Published email: info.pml@plc.lk,https://pml.lk/contact-us/,
postal_address,pass,Published postal address: * Subject / Title * Message Select your nearest PML branch * Select Branch Nugegoda - Head Office Anuradhapura Kegalle A,https://pml.lk/contact-us/,
phone,pass,Published phone: 025-06-03-105,https://pml.lk/about-us/,
phone,pass,Published phone: +94 112 890 990 ,https://pml.lk/about-us/,
phone,pass,Published phone: +94 112 890 990,https://pml.lk/about-us/,
phone,pass,Published phone: 0112 890 990 ,https://pml.lk/about-us/,
phone,pass,Published phone: +94112890990,https://pml.lk/about-us/,
phone,pass,Published phone: 0112 890 990,https://pml.lk/about-us/,
email,pass,Published email: microweb.global@gmail.com,https://pml.lk/about-us/,
email,pass,Published email: info.pml@plc.lk,https://pml.lk/about-us/,
postal_address,pass,Published postal address: Loan Amount LKR Loan Purpose * Select your nearest PML branch Anuradhapura Kegalle Ampara Batticaloa Badulla Avissawella,https://pml.lk/about-us/,
named_responsibility,pass,Published named responsibility: director,https://pml.lk/about-us/,
fees_and_payment,pass,Published fees and payment: Rs. 13,https://pml.lk/about-us/,
processing_time,pass,Published processing time: 24 hours,https://pml.lk/about-us/,
phone,pass,Published phone: 025-06-03-105,https://pml.lk/products/,
phone,pass,Published phone: +94 112 890 990 ,https://pml.lk/products/,
phone,pass,Published phone: +94 112 890 990,https://pml.lk/products/,
phone,pass,Published phone: 0112 890 990 ,https://pml.lk/products/,
phone,pass,Published phone: +94112890990,https://pml.lk/products/,
phone,pass,Published phone: 0112 890 990,https://pml.lk/products/,
email,pass,Published email: microweb.global@gmail.com,https://pml.lk/products/,
email,pass,Published email: info.pml@plc.lk,https://pml.lk/products/,
postal_address,pass,Published postal address: Loan Amount LKR Loan Purpose * Select your nearest PML branch Anuradhapura Kegalle Ampara Batticaloa Badulla Avissawella,https://pml.lk/products/,
fees_and_payment,pass,"Published fees and payment: rs,",https://pml.lk/products/,
processing_time,pass,Published processing time: 24 hours,https://pml.lk/products/,
phone,pass,Published phone: 025-06-03-105,https://pml.lk/branches/,
phone,pass,Published phone: 077-1763646 ,https://pml.lk/branches/,
phone,pass,Published phone: 072-9566788 ,https://pml.lk/branches/,
phone,pass,Published phone: 074-1567468 ,https://pml.lk/branches/,
phone,pass,Published phone: 077-6026065 ,https://pml.lk/branches/,
phone,pass,Published phone: 081-2498026 ,https://pml.lk/branches/,
phone,pass,Published phone: 077-3877145 ,https://pml.lk/branches/,
