check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:02.494315+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:02.494337+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:03.089444+05:30
http,pass,Probe 1: HTTP 200 at https://lrh.health.gov.lk/,https://lrh.health.gov.lk/,2026-09-08T23:49:32.203251+05:30
http,pass,Probe 2: HTTP 200 at https://lrh.health.gov.lk/,http://lrh.health.gov.lk/,2026-09-08T23:49:32.203272+05:30
http,pass,Probe 3: HTTP 200 at https://lrh.health.gov.lk/,https://lrh.health.gov.lk/,2026-09-08T23:49:32.203275+05:30
http,pass,Probe 4: HTTP 200 at https://lrh.health.gov.lk/,http://lrh.health.gov.lk/,2026-09-08T23:49:32.203278+05:30
http,pass,Probe 5: HTTP 200 at https://lrh.health.gov.lk/autism-services/,https://lrh.health.gov.lk/autism-services/,2026-09-08T23:49:32.203281+05:30
http,pass,Probe 6: HTTP 200 at https://lrh.health.gov.lk/departments/,https://lrh.health.gov.lk/departments/,2026-09-08T23:49:32.203283+05:30
http,pass,Probe 7: HTTP 200 at https://lrh.health.gov.lk/departments4/outpatientdepartment/,https://lrh.health.gov.lk/departments4/outpatientdepartment/,2026-09-08T23:49:32.203286+05:30
http,pass,Probe 8: HTTP 200 at https://lrh.health.gov.lk/departments4/clinic-section/,https://lrh.health.gov.lk/departments4/clinic-section/,2026-09-08T23:49:32.203288+05:30
http,pass,Probe 9: HTTP 200 at https://lrh.health.gov.lk/departments4/special-services-2/,https://lrh.health.gov.lk/departments4/special-services-2/,2026-09-08T23:49:32.203291+05:30
http,pass,Probe 10: HTTP 200 at https://lrh.health.gov.lk/departments4/specialist-services-2/,https://lrh.health.gov.lk/departments4/specialist-services-2/,2026-09-08T23:49:32.203293+05:30
http,pass,Probe 11: HTTP 200 at https://lrh.health.gov.lk/departments4/operating-theatres-and-intensive-care-units-2/,https://lrh.health.gov.lk/departments4/operating-theatres-and-intensive-care-units-2/,2026-09-08T23:49:32.203296+05:30
http,pass,Probe 12: HTTP 200 at https://lrh.health.gov.lk/departments4/laboratory-services-2/,https://lrh.health.gov.lk/departments4/laboratory-services-2/,2026-09-08T23:49:32.203299+05:30
http,pass,Probe 13: HTTP 200 at https://lrh.health.gov.lk/departments4/paediatric-radiology/,https://lrh.health.gov.lk/departments4/paediatric-radiology/,2026-09-08T23:49:32.203302+05:30
http,pass,Probe 14: HTTP 200 at https://lrh.health.gov.lk/departments4/blood-bank/,https://lrh.health.gov.lk/departments4/blood-bank/,2026-09-08T23:49:32.203304+05:30
phone,pass,Published phone: 0000000000,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0539140313,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0954586231,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0212707519,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0000008180,https://lrh.health.gov.lk/,
postal_address,pass,"Published postal address: HHIMS Training Staff Welfare {""prefetch"":[{""source"":""document"",""where"":{""and"":[{""href_matches"":""/*""},{""not"":{""href_match",https://lrh.health.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://lrh.health.gov.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0000000000,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0539140313,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0954586231,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0212707519,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0000008180,https://lrh.health.gov.lk/,
postal_address,pass,"Published postal address: HHIMS Training Staff Welfare {""prefetch"":[{""source"":""document"",""where"":{""and"":[{""href_matches"":""/*""},{""not"":{""href_match",https://lrh.health.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://lrh.health.gov.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0000000000,https://lrh.health.gov.lk/,
phone,pass,Published phone: 0539140313,https://lrh.health.gov.lk/,
