check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:26:05.836172+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:26:05.836193+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:26:06.389963+05:30
http,pass,Probe 1: HTTP 200 at https://nbri.gov.lk/index.php?lang=en,https://nbri.gov.lk/,2026-09-08T23:26:35.180224+05:30
http,pass,Probe 2: HTTP 200 at https://nbri.gov.lk/index.php?lang=en,http://nbri.gov.lk/,2026-09-08T23:26:35.180247+05:30
http,pass,Probe 3: HTTP 200 at https://nbri.gov.lk/index.php?lang=en,https://nbri.gov.lk/,2026-09-08T23:26:35.180251+05:30
http,pass,Probe 4: HTTP 200 at https://nbri.gov.lk/index.php?lang=en,http://nbri.gov.lk/,2026-09-08T23:26:35.180254+05:30
http,pass,Probe 5: HTTP 200 at https://nbri.gov.lk/index.php?lang=en,https://nbri.gov.lk/index.php,2026-09-08T23:26:35.180257+05:30
http,pass,Probe 6: HTTP 200 at https://nbri.gov.lk/index.php?option=com_contact&view=contact&id=1&Itemid=183&lang=en,https://nbri.gov.lk/index.php?option=com_contact&view=contact&id=1&Itemid=183&lang=en,2026-09-08T23:26:35.180260+05:30
http,pass,Probe 7: HTTP 200 at https://nbri.gov.lk/index.php?lang=si,https://nbri.gov.lk/index.php?lang=si,2026-09-08T23:26:35.180262+05:30
http,pass,Probe 8: HTTP 200 at https://nbri.gov.lk/index.php?lang=ta,https://nbri.gov.lk/index.php?lang=ta,2026-09-08T23:26:35.180265+05:30
http,pass,Probe 9: HTTP 200 at https://nbri.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,https://nbri.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-08T23:26:35.180268+05:30
http,pass,Probe 10: HTTP 200 at https://nbri.gov.lk/index.php?option=com_content&view=article&id=32&Itemid=186&lang=en,https://nbri.gov.lk/index.php?option=com_content&view=article&id=32&Itemid=186&lang=en,2026-09-08T23:26:35.180271+05:30
