check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:35:39.131264+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:35:39.131283+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:35:39.601990+05:30
http,pass,Probe 1: HTTP 200 at https://pdasl.gov.lk/,https://pdasl.gov.lk/,2026-09-08T23:35:55.789873+05:30
http,pass,Probe 2: HTTP 200 at https://pdasl.gov.lk/,http://pdasl.gov.lk/,2026-09-08T23:35:55.789897+05:30
http,pass,Probe 3: HTTP 200 at https://pdasl.gov.lk/,https://pdasl.gov.lk/,2026-09-08T23:35:55.789901+05:30
http,pass,Probe 4: HTTP 200 at https://pdasl.gov.lk/,http://pdasl.gov.lk/,2026-09-08T23:35:55.789904+05:30
http,pass,Probe 5: HTTP 200 at https://pdasl.gov.lk/contact,https://pdasl.gov.lk/contact,2026-09-08T23:35:55.789907+05:30
http,pass,Probe 6: HTTP 200 at https://pdasl.gov.lk/news/pdasl-office-relocation-notice,https://pdasl.gov.lk/news/pdasl-office-relocation-notice,2026-09-08T23:35:55.789909+05:30
http,pass,Probe 7: HTTP 200 at https://pdasl.gov.lk/about,https://pdasl.gov.lk/about,2026-09-08T23:35:55.789912+05:30
http,pass,Probe 8: HTTP 200 at https://pdasl.gov.lk/data-management,https://pdasl.gov.lk/data-management,2026-09-08T23:35:55.789915+05:30
http,pass,Probe 9: HTTP 200 at https://pdasl.gov.lk/investment-opportunities,https://pdasl.gov.lk/investment-opportunities,2026-09-08T23:35:55.789917+05:30
http,pass,Probe 10: HTTP 200 at https://pdasl.gov.lk/legal-compliance,https://pdasl.gov.lk/legal-compliance,2026-09-08T23:35:55.789920+05:30
http,pass,Probe 11: HTTP 200 at https://pdasl.gov.lk/national-benefits,https://pdasl.gov.lk/national-benefits,2026-09-08T23:35:55.789923+05:30
http,pass,Probe 12: HTTP 200 at https://pdasl.gov.lk/news,https://pdasl.gov.lk/news,2026-09-08T23:35:55.789925+05:30
http,pass,Probe 13: HTTP 200 at https://pdasl.gov.lk/news/sri-lanka-licensing-round-2026-launched,https://pdasl.gov.lk/news/sri-lanka-licensing-round-2026-launched,2026-09-08T23:35:55.789928+05:30
http,pass,Probe 14: HTTP 200 at https://pdasl.gov.lk/news/new-agreement-for-west-mannar-basin-data,https://pdasl.gov.lk/news/new-agreement-for-west-mannar-basin-data,2026-09-08T23:35:55.789930+05:30
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://pdasl.gov.lk/,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://pdasl.gov.lk/,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://pdasl.gov.lk/,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://pdasl.gov.lk/,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/contact,
phone,pass,Published phone: +94 (11) 2332003,https://pdasl.gov.lk/contact,
phone,pass,Published phone: +94 (11) 2332002 ,https://pdasl.gov.lk/contact,
phone,pass,Published phone: +94 (11) 2332003 ,https://pdasl.gov.lk/contact,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/contact,
phone,pass,Published phone: +94 (11) 2332002,https://pdasl.gov.lk/contact,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/contact,
email,pass,Published email: you@email.com,https://pdasl.gov.lk/contact,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/contact,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/news/pdasl-office-relocation-notice,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/news/pdasl-office-relocation-notice,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/news/pdasl-office-relocation-notice,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/news/pdasl-office-relocation-notice,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/about,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/about,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/about,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/about,
named_responsibility,pass,Published named responsibility: director,https://pdasl.gov.lk/about,
legal_basis,pass,Published legal basis: regulations,https://pdasl.gov.lk/about,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/data-management,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/data-management,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/data-management,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/data-management,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/investment-opportunities,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/investment-opportunities,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/investment-opportunities,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/investment-opportunities,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/legal-compliance,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/legal-compliance,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/legal-compliance,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/legal-compliance,
named_responsibility,pass,Published named responsibility: division,https://pdasl.gov.lk/legal-compliance,
legal_basis,pass,Published legal basis: regulations,https://pdasl.gov.lk/legal-compliance,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/national-benefits,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/national-benefits,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/national-benefits,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/national-benefits,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/news,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/news,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/news,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/news,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/news/sri-lanka-licensing-round-2026-launched,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/news/sri-lanka-licensing-round-2026-launched,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/news/sri-lanka-licensing-round-2026-launched,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/news/sri-lanka-licensing-round-2026-launched,
phone,pass,Published phone: +94(0)11233200,https://pdasl.gov.lk/news/new-agreement-for-west-mannar-basin-data,
phone,pass,Published phone: +94(0)112332002,https://pdasl.gov.lk/news/new-agreement-for-west-mannar-basin-data,
email,pass,Published email: exploresrilanka@pdasl.gov.lk,https://pdasl.gov.lk/news/new-agreement-for-west-mannar-basin-data,
postal_address,pass,"Published postal address: 04th Floor, No.609, Dr.Danister de Silva Mawatha, Colombo 09, Sri Lanka © 2026 Petroleum Development Authority of Sri La",https://pdasl.gov.lk/news/new-agreement-for-west-mannar-basin-data,
page_text,pass,Substantive page content: 4742 visible characters across 14 pages,https://pdasl.gov.lk/,
