check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:36:52.526611+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:36:52.526619+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:36:53.063896+05:30
http,pass,Probe 1: HTTP 200 at https://www.boctravels.com/,https://www.boctravels.com/,2026-09-08T23:37:11.233369+05:30
http,pass,Probe 2: HTTP 200 at https://www.boctravels.com/,http://www.boctravels.com/,2026-09-08T23:37:11.233393+05:30
http,pass,Probe 3: HTTP 200 at https://www.boctravels.com/,https://www.boctravels.com/,2026-09-08T23:37:11.233396+05:30
http,pass,Probe 4: HTTP 200 at https://www.boctravels.com/,http://www.boctravels.com/,2026-09-08T23:37:11.233399+05:30
http,pass,Probe 5: HTTP 200 at https://www.boctravels.com/services.html,https://www.boctravels.com/services.html,2026-09-08T23:37:11.233402+05:30
http,pass,Probe 6: HTTP 200 at https://www.boctravels.com/VisaServices.html,https://www.boctravels.com/VisaServices.html,2026-09-08T23:37:11.233404+05:30
http,pass,Probe 7: HTTP 200 at https://www.boctravels.com/contact.html,https://www.boctravels.com/contact.html,2026-09-08T23:37:11.233407+05:30
http,pass,Probe 8: HTTP 200 at https://www.boctravels.com/index.html,https://www.boctravels.com/index.html,2026-09-08T23:37:11.233410+05:30
http,pass,Probe 9: HTTP 200 at https://www.boctravels.com/about.html,https://www.boctravels.com/about.html,2026-09-08T23:37:11.233412+05:30
http,pass,Probe 10: HTTP 200 at https://www.boctravels.com/team.html,https://www.boctravels.com/team.html,2026-09-08T23:37:11.233415+05:30
http,pass,Probe 11: HTTP 200 at https://www.boctravels.com/awards.html,https://www.boctravels.com/awards.html,2026-09-08T23:37:11.233418+05:30
http,pass,Probe 12: HTTP 200 at https://www.boctravels.com/Photo_Official_Events.html,https://www.boctravels.com/Photo_Official_Events.html,2026-09-08T23:37:11.233420+05:30
http,pass,Probe 13: HTTP 200 at https://www.boctravels.com/Photo_Industry_Events.html,https://www.boctravels.com/Photo_Industry_Events.html,2026-09-08T23:37:11.233423+05:30
