check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:58:01.993828+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:58:01.993851+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:58:03.051373+05:30
http,pass,Probe 1: HTTP 200 at https://www.slpa.lk/,https://www.slpa.lk/,2026-09-08T23:58:23.196148+05:30
http,pass,Probe 2: HTTP 200 at https://www.slpa.lk/index.php,http://www.slpa.lk/,2026-09-08T23:58:23.196173+05:30
http,pass,Probe 3: HTTP 200 at https://www.slpa.lk/,https://www.slpa.lk/,2026-09-08T23:58:23.196177+05:30
http,pass,Probe 4: HTTP 200 at https://www.slpa.lk/index.php,http://www.slpa.lk/,2026-09-08T23:58:23.196180+05:30
http,pass,Probe 5: HTTP 200 at https://www.slpa.lk/port-colombo/contacts-general-info,https://www.slpa.lk/port-colombo/contacts-general-info,2026-09-08T23:58:23.196182+05:30
http,pass,Probe 6: HTTP 200 at https://www.slpa.lk/port-colombo/general-cargo-services,https://www.slpa.lk/port-colombo/general-cargo-services,2026-09-08T23:58:23.196185+05:30
http,pass,Probe 7: HTTP 200 at https://www.slpa.lk/port-colombo/slpa,https://www.slpa.lk/port-colombo/slpa,2026-09-08T23:58:23.196188+05:30
http,pass,Probe 8: HTTP 200 at https://www.slpa.lk/port-colombo/vision-and-mission,https://www.slpa.lk/port-colombo/vision-and-mission,2026-09-08T23:58:23.196191+05:30
http,pass,Probe 9: HTTP 200 at https://www.slpa.lk/port-colombo/board-of-directors,https://www.slpa.lk/port-colombo/board-of-directors,2026-09-08T23:58:23.196194+05:30
http,pass,Probe 10: HTTP 200 at https://www.slpa.lk/port-colombo/act,https://www.slpa.lk/port-colombo/act,2026-09-08T23:58:23.196209+05:30
http,pass,Probe 11: HTTP 200 at https://www.slpa.lk/port-colombo/procedures,https://www.slpa.lk/port-colombo/procedures,2026-09-08T23:58:23.196212+05:30
http,pass,Probe 12: HTTP 200 at https://www.slpa.lk/port-colombo/circulars,https://www.slpa.lk/port-colombo/circulars,2026-09-08T23:58:23.196215+05:30
http,pass,Probe 13: HTTP 200 at https://www.slpa.lk/port-colombo-list/awards,https://www.slpa.lk/port-colombo-list/awards,2026-09-08T23:58:23.196218+05:30
http,pass,Probe 14: HTTP 200 at https://www.slpa.lk/port-colombo/annual-reports,https://www.slpa.lk/port-colombo/annual-reports,2026-09-08T23:58:23.196220+05:30
phone,pass,Published phone: +94-11 2440651 ,https://www.slpa.lk/,
phone,pass,Published phone: +94 112 42 12 31 ,https://www.slpa.lk/,
phone,pass,Published phone: 1984,https://www.slpa.lk/,
phone,pass,Published phone: +94-11 242 12 01 ,https://www.slpa.lk/,
phone,pass,Published phone: +94 112 42 12 01 ,https://www.slpa.lk/,
email,pass,Published email: info@slpa.lk,https://www.slpa.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slpa.lk/,
legal_basis,pass,Published legal basis: circular,https://www.slpa.lk/,
phone,pass,Published phone: +94-11 2440651 ,https://www.slpa.lk/index.php,
phone,pass,Published phone: +94 112 42 12 31 ,https://www.slpa.lk/index.php,
phone,pass,Published phone: 1984,https://www.slpa.lk/index.php,
phone,pass,Published phone: +94-11 242 12 01 ,https://www.slpa.lk/index.php,
phone,pass,Published phone: +94 112 42 12 01 ,https://www.slpa.lk/index.php,
email,pass,Published email: info@slpa.lk,https://www.slpa.lk/index.php,
named_responsibility,pass,Published named responsibility: director,https://www.slpa.lk/index.php,
legal_basis,pass,Published legal basis: circular,https://www.slpa.lk/index.php,
phone,pass,Published phone: +94-11 2440651 ,https://www.slpa.lk/,
phone,pass,Published phone: +94 112 42 12 31 ,https://www.slpa.lk/,
phone,pass,Published phone: 1984,https://www.slpa.lk/,
phone,pass,Published phone: +94-11 242 12 01 ,https://www.slpa.lk/,
phone,pass,Published phone: +94 112 42 12 01 ,https://www.slpa.lk/,
email,pass,Published email: info@slpa.lk,https://www.slpa.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slpa.lk/,
legal_basis,pass,Published legal basis: circular,https://www.slpa.lk/,
phone,pass,Published phone: +94-11 2440651 ,https://www.slpa.lk/index.php,
phone,pass,Published phone: +94 112 42 12 31 ,https://www.slpa.lk/index.php,
phone,pass,Published phone: 1984,https://www.slpa.lk/index.php,
phone,pass,Published phone: +94-11 242 12 01 ,https://www.slpa.lk/index.php,
phone,pass,Published phone: +94 112 42 12 01 ,https://www.slpa.lk/index.php,
email,pass,Published email: info@slpa.lk,https://www.slpa.lk/index.php,
named_responsibility,pass,Published named responsibility: director,https://www.slpa.lk/index.php,
legal_basis,pass,Published legal basis: circular,https://www.slpa.lk/index.php,
phone,pass,Published phone: +94 11 2323102 ,https://www.slpa.lk/port-colombo/contacts-general-info,
phone,pass,Published phone: +94-11 2440651 ,https://www.slpa.lk/port-colombo/contacts-general-info,
phone,pass,Published phone: +94 112 42 12 31 ,https://www.slpa.lk/port-colombo/contacts-general-info,
phone,pass,Published phone: 1984,https://www.slpa.lk/port-colombo/contacts-general-info,
phone,pass,Published phone: +94-11 242 12 01 ,https://www.slpa.lk/port-colombo/contacts-general-info,
phone,pass,Published phone: +94 112 42 12 01 ,https://www.slpa.lk/port-colombo/contacts-general-info,
phone,pass,Published phone: +94 11 2381652 ,https://www.slpa.lk/port-colombo/contacts-general-info,
email,pass,Published email: supplies@slpa.lk,https://www.slpa.lk/port-colombo/contacts-general-info,
