check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:12:16.869039+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:12:16.869060+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:12:17.364662+05:30
http,pass,Probe 1: HTTP 200 at https://cinnamon.gov.lk/,https://cinnamon.gov.lk/,2026-09-08T23:12:41.211860+05:30
http,pass,Probe 2: HTTP 200 at https://cinnamon.gov.lk/,http://cinnamon.gov.lk/,2026-09-08T23:12:41.211883+05:30
http,pass,Probe 3: HTTP 200 at https://cinnamon.gov.lk/,https://cinnamon.gov.lk/,2026-09-08T23:12:41.211886+05:30
http,pass,Probe 4: HTTP 200 at https://cinnamon.gov.lk/,http://cinnamon.gov.lk/,2026-09-08T23:12:41.211889+05:30
http,pass,Probe 5: HTTP 200 at https://cinnamon.gov.lk/eng/,https://cinnamon.gov.lk/eng/,2026-09-08T23:12:41.211892+05:30
http,pass,Probe 6: HTTP 200 at https://cinnamon.gov.lk/about/analytical-services/,https://cinnamon.gov.lk/about/analytical-services/,2026-09-08T23:12:41.211895+05:30
http,pass,Probe 7: HTTP 200 at https://cinnamon.gov.lk/about/contact-details/,https://cinnamon.gov.lk/about/contact-details/,2026-09-08T23:12:41.211898+05:30
http,pass,Probe 8: HTTP 200 at https://cinnamon.gov.lk/development-division/,https://cinnamon.gov.lk/development-division/,2026-09-08T23:12:41.211901+05:30
http,pass,Probe 9: HTTP 200 at https://cinnamon.gov.lk/contact-details/,https://cinnamon.gov.lk/contact-details/,2026-09-08T23:12:41.211903+05:30
http,pass,Probe 10: HTTP 200 at https://cinnamon.gov.lk/about/administration-division/,https://cinnamon.gov.lk/about/administration-division/,2026-09-08T23:12:41.211906+05:30
http,pass,Probe 11: HTTP 200 at https://cinnamon.gov.lk/about/planning-division/introduction/,https://cinnamon.gov.lk/about/planning-division/introduction/,2026-09-08T23:12:41.211909+05:30
http,pass,Probe 12: HTTP 200 at https://cinnamon.gov.lk/services/ncrtc/,https://cinnamon.gov.lk/services/ncrtc/,2026-09-08T23:12:41.211912+05:30
http,pass,Probe 13: HTTP 200 at https://cinnamon.gov.lk/services/advisory-service/,https://cinnamon.gov.lk/services/advisory-service/,2026-09-08T23:12:41.211915+05:30
