check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:23:47.145598+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:23:47.145618+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:23:47.179029+05:30
http,pass,Probe 1: HTTP 200 at https://ccf.gov.lk/,https://ccf.gov.lk/,2026-09-08T23:24:09.686695+05:30
http,pass,Probe 2: HTTP 200 at https://ccf.gov.lk/,http://ccf.gov.lk/,2026-09-08T23:24:09.686990+05:30
http,pass,Probe 3: HTTP 200 at https://ccf.gov.lk/,https://ccf.gov.lk/,2026-09-08T23:24:09.686994+05:30
http,pass,Probe 4: HTTP 200 at https://ccf.gov.lk/,http://ccf.gov.lk/,2026-09-08T23:24:09.687009+05:30
http,pass,Probe 5: HTTP 200 at https://ccf.gov.lk/contact/,https://ccf.gov.lk/contact/,2026-09-08T23:24:09.687012+05:30
http,pass,Probe 6: HTTP 200 at https://ccf.gov.lk/ccf/,https://ccf.gov.lk/ccf/,2026-09-08T23:24:09.687015+05:30
http,pass,Probe 7: HTTP 200 at https://ccf.gov.lk/director-general/,https://ccf.gov.lk/director-general/,2026-09-08T23:24:09.687018+05:30
http,pass,Probe 8: HTTP 200 at https://ccf.gov.lk/our-team/,https://ccf.gov.lk/our-team/,2026-09-08T23:24:09.687021+05:30
http,pass,Probe 9: HTTP 200 at https://ccf.gov.lk/board-members/,https://ccf.gov.lk/board-members/,2026-09-08T23:24:09.687024+05:30
http,pass,Probe 10: HTTP 200 at https://ccf.gov.lk/ticket-issuance/,https://ccf.gov.lk/ticket-issuance/,2026-09-08T23:24:09.687027+05:30
http,pass,Probe 11: HTTP 200 at https://ccf.gov.lk/national-replica-school/,https://ccf.gov.lk/national-replica-school/,2026-09-08T23:24:09.687031+05:30
http,pass,Probe 12: HTTP 200 at https://ccf.gov.lk/permission-for-filming-photographs/,https://ccf.gov.lk/permission-for-filming-photographs/,2026-09-08T23:24:09.687033+05:30
http,pass,Probe 13: HTTP 200 at https://ccf.gov.lk/heritage-sites/,https://ccf.gov.lk/heritage-sites/,2026-09-08T23:24:09.687037+05:30
http,pass,Probe 14: HTTP 200 at https://ccf.gov.lk/museums/,https://ccf.gov.lk/museums/,2026-09-08T23:24:09.687039+05:30
phone,pass,Published phone: +94 112 508 973 ,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 587 912 ,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 552 014 ,https://ccf.gov.lk/,
email,pass,Published email: ccfinform@gmail.com,https://ccf.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 508 973 ,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 587 912 ,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 552 014 ,https://ccf.gov.lk/,
email,pass,Published email: ccfinform@gmail.com,https://ccf.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 508 973 ,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 587 912 ,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 552 014 ,https://ccf.gov.lk/,
email,pass,Published email: ccfinform@gmail.com,https://ccf.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 508 973 ,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 587 912 ,https://ccf.gov.lk/,
phone,pass,Published phone: +94 112 552 014 ,https://ccf.gov.lk/,
email,pass,Published email: ccfinform@gmail.com,https://ccf.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://ccf.gov.lk/,
phone,pass,Published phone: +9447 223 9082 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9441 223 7266 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9471 805 8606 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9471 504 5625 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9455 312 2626 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9411 267 9919 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9481 222 8075 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9471 328 3043 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9447 222 5896 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9425 222 7031 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9471 445 9085 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9471 805 5265 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9466 228 6945 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9427 222 2121 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9471 778 7464 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9471 690 5262 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9433 228 5230 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9437 227 5555 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9425 222 4718 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9466 228 4760 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9421 221 3711 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9491 224 5254 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9445 226 2777 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +94 112 587 912 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +94 112 552 014 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +94 112 508 973 ,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +9425 205 5121 ,https://ccf.gov.lk/contact/,
email,pass,Published email: ccfinform@gmail.com,https://ccf.gov.lk/contact/,
postal_address,pass,"Published postal address: No 212/1, Bauddhaloka Mawatha, Colombo Email: ccfinform@gmail.com Phone: +94 112 587 912 +94 112 552 014 +94 112 508 973",https://ccf.gov.lk/contact/,
named_responsibility,pass,Published named responsibility: director,https://ccf.gov.lk/contact/,
phone,pass,Published phone: +94 112 508 973 ,https://ccf.gov.lk/ccf/,
phone,pass,Published phone: +94 112 587 912 ,https://ccf.gov.lk/ccf/,
phone,pass,Published phone: +94 112 552 014 ,https://ccf.gov.lk/ccf/,
email,pass,Published email: ccfinform@gmail.com,https://ccf.gov.lk/ccf/,
named_responsibility,pass,Published named responsibility: director,https://ccf.gov.lk/ccf/,
phone,pass,Published phone: +94 112 508 973 ,https://ccf.gov.lk/director-general/,
phone,pass,Published phone: +94 112 587 912 ,https://ccf.gov.lk/director-general/,
phone,pass,Published phone: 011 250 8964 ,https://ccf.gov.lk/director-general/,
phone,pass,Published phone: +94 112 552 014 ,https://ccf.gov.lk/director-general/,
email,pass,Published email: ccfinform@gmail.com,https://ccf.gov.lk/director-general/,
named_responsibility,pass,Published named responsibility: director,https://ccf.gov.lk/director-general/,
