check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:00:35.363595+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:00:35.363614+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:00:35.556324+05:30
http,pass,Probe 1: HTTP 200 at https://www.iti.lk/,https://www.iti.lk/,2026-09-09T00:00:54.345422+05:30
http,pass,Probe 2: HTTP 200 at https://www.iti.lk/,http://www.iti.lk/,2026-09-09T00:00:54.345448+05:30
http,pass,Probe 3: HTTP 200 at https://www.iti.lk/,https://www.iti.lk/,2026-09-09T00:00:54.345452+05:30
http,pass,Probe 4: HTTP 200 at https://www.iti.lk/,http://www.iti.lk/,2026-09-09T00:00:54.345456+05:30
http,pass,Probe 5: HTTP 200 at https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,2026-09-09T00:00:54.345460+05:30
http,pass,Probe 6: HTTP 200 at https://www.iti.lk/contact-us/,https://www.iti.lk/contact-us/,2026-09-09T00:00:54.345462+05:30
http,pass,Probe 7: HTTP 200 at https://www.iti.lk/iti-news/important-notoce-temporary-alternative-contact-number/,https://www.iti.lk/iti-news/important-notoce-temporary-alternative-contact-number/,2026-09-09T00:00:54.345465+05:30
http,pass,Probe 8: HTTP 200 at https://www.iti.lk/publications-patents/,https://www.iti.lk/publications-patents/,2026-09-09T00:00:54.345468+05:30
http,pass,Probe 9: HTTP 200 at https://www.iti.lk/awards-recognitions/,https://www.iti.lk/awards-recognitions/,2026-09-09T00:00:54.345470+05:30
http,pass,Probe 10: HTTP 200 at https://www.iti.lk/news-events/,https://www.iti.lk/news-events/,2026-09-09T00:00:54.345473+05:30
http,pass,Probe 11: HTTP 200 at https://www.iti.lk/vacancies/,https://www.iti.lk/vacancies/,2026-09-09T00:00:54.345475+05:30
http,pass,Probe 12: HTTP 200 at https://www.iti.lk/about-us/,https://www.iti.lk/about-us/,2026-09-09T00:00:54.345478+05:30
http,pass,Probe 13: HTTP 200 at https://www.iti.lk/our-people/,https://www.iti.lk/our-people/,2026-09-09T00:00:54.345480+05:30
http,pass,Probe 14: HTTP 200 at https://www.iti.lk/quality-policy/,https://www.iti.lk/quality-policy/,2026-09-09T00:00:54.345483+05:30
phone,pass,Published phone: +94-11-2379802,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2379802 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2686567 ,https://www.iti.lk/,
phone,pass,Published phone: +94-11- 2797310,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950 ,https://www.iti.lk/,
phone,pass,Published phone: +94-11- 2797310 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9800 ,https://www.iti.lk/,
phone,pass,Published phone: +94 70 6922200 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9800,https://www.iti.lk/,
phone,pass,Published phone: +Call Centre Hotline : +94 70 6922200,https://www.iti.lk/,
email,pass,Published email: dg@iti.lk,https://www.iti.lk/,
email,pass,Published email: clo@iti.lk,https://www.iti.lk/,
email,pass,Published email: info@iti.lk,https://www.iti.lk/,
email,pass,Published email: sclo@iti.lk,https://www.iti.lk/,
email,pass,Published email: 94-11-2686567,https://www.iti.lk/,
postal_address,pass,Published postal address: { flex-direction: column; display: flex; width: 90%; margin: auto; text-align: center; justify-content: space-between; a,https://www.iti.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.iti.lk/,
published_update_date,pass,Published published update date: 2026-01-26,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2379802,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2379802 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2686567 ,https://www.iti.lk/,
phone,pass,Published phone: +94-11- 2797310,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950 ,https://www.iti.lk/,
phone,pass,Published phone: +94-11- 2797310 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9800 ,https://www.iti.lk/,
phone,pass,Published phone: +94 70 6922200 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9800,https://www.iti.lk/,
phone,pass,Published phone: +Call Centre Hotline : +94 70 6922200,https://www.iti.lk/,
email,pass,Published email: dg@iti.lk,https://www.iti.lk/,
email,pass,Published email: clo@iti.lk,https://www.iti.lk/,
email,pass,Published email: info@iti.lk,https://www.iti.lk/,
email,pass,Published email: sclo@iti.lk,https://www.iti.lk/,
email,pass,Published email: 94-11-2686567,https://www.iti.lk/,
postal_address,pass,Published postal address: { flex-direction: column; display: flex; width: 90%; margin: auto; text-align: center; justify-content: space-between; a,https://www.iti.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.iti.lk/,
published_update_date,pass,Published published update date: 2026-01-26,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2379802,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2379802 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2686567 ,https://www.iti.lk/,
phone,pass,Published phone: +94-11- 2797310,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950 ,https://www.iti.lk/,
phone,pass,Published phone: +94-11- 2797310 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9800 ,https://www.iti.lk/,
phone,pass,Published phone: +94 70 6922200 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9800,https://www.iti.lk/,
phone,pass,Published phone: +Call Centre Hotline : +94 70 6922200,https://www.iti.lk/,
email,pass,Published email: dg@iti.lk,https://www.iti.lk/,
email,pass,Published email: clo@iti.lk,https://www.iti.lk/,
email,pass,Published email: info@iti.lk,https://www.iti.lk/,
email,pass,Published email: sclo@iti.lk,https://www.iti.lk/,
email,pass,Published email: 94-11-2686567,https://www.iti.lk/,
postal_address,pass,Published postal address: { flex-direction: column; display: flex; width: 90%; margin: auto; text-align: center; justify-content: space-between; a,https://www.iti.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.iti.lk/,
published_update_date,pass,Published published update date: 2026-01-26,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2379802,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2379802 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950,https://www.iti.lk/,
phone,pass,Published phone: +94-11-2686567 ,https://www.iti.lk/,
phone,pass,Published phone: +94-11- 2797310,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950 ,https://www.iti.lk/,
phone,pass,Published phone: +94-11- 2797310 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9800 ,https://www.iti.lk/,
phone,pass,Published phone: +94 70 6922200 ,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9800,https://www.iti.lk/,
phone,pass,Published phone: +Call Centre Hotline : +94 70 6922200,https://www.iti.lk/,
email,pass,Published email: dg@iti.lk,https://www.iti.lk/,
email,pass,Published email: clo@iti.lk,https://www.iti.lk/,
email,pass,Published email: info@iti.lk,https://www.iti.lk/,
email,pass,Published email: sclo@iti.lk,https://www.iti.lk/,
email,pass,Published email: 94-11-2686567,https://www.iti.lk/,
postal_address,pass,Published postal address: { flex-direction: column; display: flex; width: 90%; margin: auto; text-align: center; justify-content: space-between; a,https://www.iti.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.iti.lk/,
published_update_date,pass,Published published update date: 2026-01-26,https://www.iti.lk/,
phone,pass,Published phone: +94 11 237 9950,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
phone,pass,Published phone: +94 11 237 9950 ,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
phone,pass,Published phone: +94 11 237 9800 ,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
phone,pass,Published phone: +94 70 6922200 ,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
phone,pass,Published phone: +94 11 237 9800,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
phone,pass,Published phone: +Call Centre Hotline : +94 70 6922200,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
email,pass,Published email: dg@iti.lk,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
email,pass,Published email: clo@iti.lk,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
email,pass,Published email: info@iti.lk,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
email,pass,Published email: sclo@iti.lk,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
email,pass,Published email: dir_mts@iti.lk,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
postal_address,pass,Published postal address: { flex-direction: column; display: flex; width: 90%; margin: auto; text-align: center; justify-content: space-between; a,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
named_responsibility,pass,Published named responsibility: director,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
published_update_date,pass,Published published update date: 2026-01-26,https://www.iti.lk/iti-research-develop/materials-nanotechnology-testing-services-sri-lanka/,
phone,pass,Published phone: +94-11-2379950,https://www.iti.lk/contact-us/,
phone,pass,Published phone: +94-11-2379800 ,https://www.iti.lk/contact-us/,
